Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258222,19.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258222,69.16,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258223,20.34,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258223,40.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,258261,78521.27,,SN2 1SZ,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Professional Services,UKSA - UKSA,Cabinet Office,258262,11035.20,,FY5 3FW,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,ENVIRONMENT SYSTEMS LTD,258306,93920.22,,SY23 3AH,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,BAXTERSTOREY LTD,258309,324.75,,RG6 1PT,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,BAXTERSTOREY LTD,258310,324.75,,RG6 1PT,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,258311,197243.80,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,AIRBUS DEFENCE AND SPACE LTD,258312,48589.94,,NE3 3AF,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,STEVENSON ASTROSAT LTD,258313,153406.90,,EH21 7DX,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Goods/Services,UKSA - UKSA,WISE Campaign C.I.C.,258315,2139.21,,LS10 1EF,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Goods/Services,UKSA - UKSA,WISE Campaign C.I.C.,258315,2494.79,,LS10 1EF,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258340,4.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258340,5.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258341,9.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258341,125.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,GPC New Procedures,Corporate Payments,"Personal Expense, Name Withheld",258342,-235.29,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258342,1.89,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258342,2.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258342,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258342,17.30,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258342,35.09,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Air Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258342,200.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258343,12.63,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258343,30.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258343,34.64,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258343,178.74,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,09/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258344,168.30,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,GMV Innovating Solutions Ltd,258381,3000.00,,OX11 0QG,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258402,4.05,,,
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258402,39.90,,,
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,Intercompany Payables,UK Space Agency - UK Space Agency,"DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY",258428,11233.81,,SW1H 0ET,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,Capital Grants To Private Sector - Persons & NPISH,UK Space Agency - UK Space Agency,Orbital Express Launch Ltd,258464,36419.60,,N7 9DP,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,Capital Grants To Private Sector - Persons & NPISH,UK Space Agency - UK Space Agency,Orbital Express Launch Ltd,258464,54629.40,,N7 9DP,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Training and Development Expenditure,UK Space Agency - UK Space Agency,BOFFIN MEDIA LTD,258485,650.00,,SG6 1JG,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Training and Development Expenditure,UK Space Agency - UK Space Agency,BOFFIN MEDIA LTD,258485,1150.00,,SG6 1JG,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258517,192.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258518,79.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258519,7.09,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258520,5.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258520,10.35,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Hospitality UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258520,11.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258520,15.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258520,134.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Hotel & Accommodation UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258520,150.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,10/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,ECOMETRICA LTD,258601,1014096.22,,EH4 2HS,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258643,8.11,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258643,18.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258643,49.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258643,62.28,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258643,63.30,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Taxi Services Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258643,85.38,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Hotel & Accommodation Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258643,320.06,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258644,4.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258644,20.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258644,59.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Office Supplies,UK Space Agency - UK Space Agency,OFFICE DEPOT UK LTD,258753,-64.43,,SP10 4JZ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Office Supplies,UK Space Agency - UK Space Agency,OFFICE DEPOT UK LTD,258754,129.04,,SP10 4JZ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Office Supplies,UK Space Agency - UK Space Agency,OFFICE DEPOT UK LTD,258755,142.82,,SP10 4JZ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Office Supplies,UK Space Agency - UK Space Agency,OFFICE DEPOT UK LTD,258756,-322.80,,SP10 4JZ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Air Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258796,19.13,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",258797,2.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258797,6.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258797,19.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",258797,23.05,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",258797,45.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258799,108.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Hire of Agency Staff,UKSA - UKSA,Alexander Mann Solutions Ltd,258846,895.99,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,258847,2492.79,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,258934,2930.88,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,258935,514.73,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,258937,505.44,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,258937,3165.24,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258944,11.20,,,
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258944,46.30,,,
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258945,156.40,,,
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258959,280.30,,,
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259035,24.30,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259036,4.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259036,13.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259036,13.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259036,20.38,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259036,28.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259036,90.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259037,4.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259037,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259038,6.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259094,3383.99,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259095,6750.90,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259097,8918.51,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259098,700.73,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259099,3351.36,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D International Subscriptions,UK Space Agency - UK Space Agency,EUROPEAN SPACE AGENCY,259105,2588212.49,,75738,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,15/10/2018,R & D Coference and Exhibition Services,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,259124,9.00,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,Current Grants To Private Sector - NPISH,UK Space Agency - UK Space Agency,Lena Space Ltd,259161,30000.00,,BA1 4AB,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,UNIVERSITY OF LEICESTER,259164,83333.33,,LE1 7RH,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,GPC New Procedures,Corporate Payments,"Personal Expense, Name Withheld",259197,-1500.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259197,6.69,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259197,13.12,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259197,81.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259197,1505.65,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259198,663.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259199,8.34,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259199,21.91,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259199,21.92,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259199,52.86,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259199,101.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259199,153.71,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Hotel & Accommodation Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259199,524.43,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259200,23.59,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259201,24.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259201,47.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259202,9.96,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259202,13.63,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259202,55.71,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259202,62.99,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259203,57.96,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259204,12.87,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259207,9.08,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259207,34.26,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259207,45.09,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Rail Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259208,17.51,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259208,18.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259208,19.19,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259208,37.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259208,38.30,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259208,39.77,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259208,75.32,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,Technical Advice / Services & Support,UK Space Agency - UK Space Agency,SPACE INSIGHT LTD,259258,53600.00,,BN21 9BD,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,Technical Advice / Services & Support,UK Space Agency - UK Space Agency,SPACE INSIGHT LTD,259259,40480.00,,BN21 9BD,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,FOLKTECH LTD,259265,8666.64,,S75 2SS,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259272,-1532.84,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259272,3372.25,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259273,3147.22,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,16/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),259274,7320.49,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259276,964.12,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,STEM LEARNING LTD,259423,30000.00,,YO10 5DD,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Printing and Stationery,UK Space Agency - UK Space Agency,ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL,259432,-2256.94,,SN2 1FF,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,HR WALLINGFORD LTD,259433,127795.56,,OX10 8BA,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,CAB INTERNATIONAL LTD t/a CABI,259435,478410.49,,OX10 8DE,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259468,5.14,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259468,26.19,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259468,27.37,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259468,30.32,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259468,78.58,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259469,5.00,,,EMPLOYEE
